year, month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct, weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted, arr_delay, carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2019,9,9E,Endeavor Air Inc.,HPN,"White Plains, NY: Westchester County",114,8,1.86,1,2.86,0,2.28,0,0,278,95,27,85,0,71
2019,9,9E,Endeavor Air Inc.,IAD,"Washington, DC: Washington Dulles International",114,14,1.99,0,6.65,0,5.36,2,0,736,181,0,247,0,308
2019,9,9E,Endeavor Air Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",80,10,3.81,0,5.44,0,0.75,2,2,297,111,0,147,0,39
2019,9,9E,Endeavor Air Inc.,IND,"Indianapolis, IN: Indianapolis International",236,21,6.3,1.17,5.6,0,7.93,1,0,1509,624,136,259,0,490
2019,9,9E,Endeavor Air Inc.,JAX,"Jacksonville, FL: Jacksonville International",128,18,6.74,0,1.96,0,9.31,4,1,1156,465,0,123,0,568
2019,9,9E,Endeavor Air Inc.,JFK,"New York, NY: John F. Kennedy International",1779,231,40.34,4.06,134.07,1,51.53,20,2,21535,3716,320,11507,16,5976
2019,9,9E,Endeavor Air Inc.,LAN,"Lansing, MI: Capital Region International",81,10,3.36,0,4.92,0,1.73,0,0,969,818,0,105,0,46
2019,9,9E,Endeavor Air Inc.,LEX,"Lexington, KY: Blue Grass",212,22,5.37,1.48,7.69,0,7.46,0,0,799,212,50,182,0,355
2019,9,9E,Endeavor Air Inc.,LFT,"Lafayette, LA: Lafayette Regional Paul Fournet Field",85,4,2.34,1,0,0,0.66,0,0,199,147,25,0,0,27
2019,9,9E,Endeavor Air Inc.,LGA,"New York, NY: LaGuardia",2011,461,47.3,9.28,293.75,0,110.67,22,3,31514,4959,1529,16591,0,8435
2019,9,9E,Endeavor Air Inc.,LIT,"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field",24,3,1.25,0,0.75,0,1,0,0,108,53,0,27,0,28
2019,9,9E,Endeavor Air Inc.,LNK,"Lincoln, NE: Lincoln Airport",21,3,0.8,0,1.2,0,1,0,1,106,40,0,38,0,28
2019,9,9E,Endeavor Air Inc.,MBS,"Saginaw/Bay City/Midland, MI: MBS International",24,1,0,0.43,0,0,0.57,0,0,42,0,18,0,0,24
2019,9,9E,Endeavor Air Inc.,MCI,"Kansas City, MO: Kansas City International",162,26,12.39,0,8.21,0,5.39,0,1,1401,682,0,404,0,315
2019,9,9E,Endeavor Air Inc.,MDT,"Harrisburg, PA: Harrisburg International",47,3,0.11,1,0.18,0,1.71,0,0,458,6,231,21,0,200
2019,9,9E,Endeavor Air Inc.,MDW,"Chicago, IL: Chicago Midway International",3,1,0,0,1,0,0,0,0,20,0,0,20,0,0
2019,9,9E,Endeavor Air Inc.,MEM,"Memphis, TN: Memphis International",145,18,6.44,0,3.25,0,8.31,1,0,789,285,0,146,0,358
2019,9,9E,Endeavor Air Inc.,MHT,"Manchester, NH: Manchester-Boston Regional",26,12,0.98,0,2.1,0,8.93,0,0,656,47,0,80,0,529
2019,9,9E,Endeavor Air Inc.,MKE,"Milwaukee, WI: General Mitchell International",2,1,0.18,0,0.82,0,0,0,0,72,13,0,59,0,0
2019,9,9E,Endeavor Air Inc.,MLI,"Moline, IL: Quad City International",85,9,1.91,0,6.56,0,0.53,0,0,415,158,0,229,0,28
2019,9,9E,Endeavor Air Inc.,MOB,"Mobile, AL: Mobile Regional",80,3,2,0,1,0,0,0,0,104,32,0,72,0,0
2019,9,9E,Endeavor Air Inc.,MOT,"Minot, ND: Minot International",25,5,3.86,0,0,0,1.14,0,0,352,312,0,0,0,40
2019,9,9E,Endeavor Air Inc.,MSN,"Madison, WI: Dane County Regional-Truax Field",91,6,4.84,0,0,0,1.16,0,0,404,370,0,0,0,34
2019,9,9E,Endeavor Air Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",1039,111,15.78,6.26,44.82,0,44.14,2,0,6405,1048,935,1527,0,2895
2019,9,9E,Endeavor Air Inc.,MVY,"Martha's Vineyard, MA: Martha's Vineyard Airport",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
